titulo,departamento,precio,ubicacion,m2,habitaciones,banios,descripcion_1,descripcion_2,c_interiores,c_exteriores,entorno
"Casa en venta Bolognesi, Yurimaguas 16501, Perú",65 casas en venta en Loreto Departamento,"137,000","Bolognesi, yurimaguas 16501, perú",330m2,7 Habitaciones,3 Baños,"¡GRAN OPORTUNIDAD! Se Vende Casa de 3 pisos - Yurimaguas, Loreto ,  , VALOR COMERCIAL $ 137,000 - ¡PRECIO NEGOCIABLE! ,  , DIRECCIÓN: Calle Francisco Bolognesi 230, Yurimaguas - Loreto ,  , - Área Construida: 330 m2  ,  , - Casa de tres pisos ubicada en una zona céntrica y comercial ,  , TODOS NUESTROS INMUEBLES SE ENTREGAN CON DOCUMENTACIÓN EN REGLA  ,  , => AGENDA UNA VISITA Y  APROVECHA EL PRECIO FINAL <=  ,  , Somos Grupo Ordesa, el asesor experto en inmuebles adjudicad","os de los principales bancos del país. Contamos con una extensa cartera de inmuebles por todo el Perú, al mejor precio.  ,  , TENEMOS EL INMUEBLE QUE NECESITAS. Solicita nuestros catálogos GRATIS.",,"Año de construcción: 2,003","Cerca a avenidas principales,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Zúngarococha, Carr. Zungarococha, Iquitos, Perú",65 casas en venta en Loreto Departamento,"500,000","Zúngarococha, carr. zungarococha, iquitos, perú","20,000m2",6 Habitaciones,8 Baños,"Venta de Recreo turístico en funcionamiento ¨El Aguajal¨ conocido y concurrido recreo, con un área de 20,000m2 (2 hectáreas). , Ubicado en el km 5 de la carretera Iquitos Nauta, entrada a Zungarococha, a 30 minutos de la ciudad, fácil y rápido de llegar. , Tiene extensas áreas verdes, con diversos árboles frutales que embellecen el recreo: mangos, coco, caimito, guaba, mamey, guinda, camu camu, aguaymanto, uvilla, aguaje, chambira, achiote y diversa variedad de plantas. , Consta de 2 piscinas: 1 de niños y otro de adultos, canchas de futbol, canchas de vóley, 5  malocas grandes para degustar las deliciosas comidas típicas de la región, con capacidad para 6 mesas largas y 10 mesas convencionales por cada maloca y espacio para hacer muchas más, zona de cocina, punto de ducha para los bañistas, 3 puntos de ojo de agua que abastece a todo el recreo y a toda la casa, 4 piscigranjas con tuberías que conectan una con otra,( el agua de las piscinas no es estancada, fluye) , Consta también con una acogedora casa en la parte frontal del recreo, con un área de 250m2 (10m. de frente por 25m. de fondo) tiene 6 habitaciones cada una con baño, baño de visita, sala cocina, comedor, un ambiente para la despensa, un bonito jardín interior y jardín exterior con diversas plantas hermosas, hojas de bijao, verduras como ají dulce, ají charapita, etc. , Además, cuenta con un local con baño, en la parte delantera de la casa (ingreso totalmente independiente de la casa). , Excelente oportunidad de inversión, con un negocio ya encaminado ya listo para seguir generando ingresos. ,  , PRECIO: USD 500,000 , CONTACTO: "," ,  Teresa Del Águila",Agua,"Año de construcción: 2,000,Estacionamientos,Cisterna",Cerca a avenidas principales
"Casa en venta Iquitos, Maynas",65 casas en venta en Loreto Departamento,"300,000","Iquitos, Maynas, Loreto",450m2,20 Habitaciones,8 Baños,"¡No te puedes perder esta increíble oportunidad de adquirir una casa en el corazón de Iquitos! Te presentamos una propiedad en venta ubicada en Jr. Loreto cuadra 3, a solo unos pasos del bullicioso boulevard. Esta es una excelente opción para aquellos que buscan vivir en una zona céntrica y vibrante. ,  , Características principales de la casa: , 450 m2 de terrenos  y 290 de área construida  ,  , Amplios espacios y diseño acogedor. , Cómodas habitaciones con"," iluminación natural. , Sala de estar espaciosa, ideal para recibir visitas o disfrutar en familia. , Cocina completamente equipada con todos los electrodomésticos necesarios. , Baños modernos y funcionales. , Patio trasero perfecto para actividades al aire libre. , Ubicación privilegiada cerca de tiendas, restaurantes, bancos y otros servicios. , Esta propiedad te ofrece la oportunidad de vivir en un entorno urbano y dinámico, con fácil acceso a todos los servicios y comodidades que necesitas. Además, su cercanía al boulevard te permitirá disfrutar de una gran variedad de opciones gastronómicas, comerciales y de entretenimiento. ,  , ¡No dejes pasar esta oportunidad única! Contáctanos ahora mismo para obtener más información y programar una visita. Esta casa en el centro de Iquitos está lista para convertirse en tu nuevo hogar.",,,
"Casa en venta Calle Manuel Pacaya, Nauta, Loreto, Peru",65 casas en venta en Loreto Departamento,"24,030","Calle manuel pacaya, nauta, loreto, peru",87.81m2,2 Habitaciones,2 Baños,"MantyObras Inmobiliaria tiene a la venta una CASA / LOCAL COMERCIAL en el Asentamiento Humano Manuel Pacaya, Distrito de Nauta, Provincia de Loreto y Departamento de Loreto. ,  , El inmueble se encuentra cerca de la Plaza de armas de Nauta. ,  , Área de terreno: 87.81 m2 ,  , Precio de venta: $24,030 , ABSTENERSE CORREDORES  ,  , Mayor información al whatsapp o vía telefónica. ,  , COD: FIFG-0522-JSLC",,Amoblado: Sin amoblar,,"Cerca de parques,Cerca a Centro Comercial,Cerca a avenidas principales"
"Casa en venta Micaela Bastidas, Iquitos, Maynas, Loreto, Peru",65 casas en venta en Loreto Departamento,"33,882","Micaela bastidas, iquitos, maynas, loreto, peru",155m2,2 Habitaciones,2 Baños,"MantyObras Inmobiliaria tiene a la venta una CASA en AAPP Micaela Bastidas, Distrito de Iquitos, Provincia de Maynas y Departamento de Loreto. ,  , El inmueble está ubicado en una zona urbana a la altura de la cuadra 5 de la Av. Tupac Amaru/Calle Lourdes de León.  ,  , Su entorno cuenta con infraestructura urbana tales como: pistas asfaltadas, veredas de concreto, redes de agua potable, redes de desagüe, redes de alumbrado público y redes telefónicas.  ,  , ","Principales vías de acceso: Av. Tupac Amaru, Av. Guardia Civil, Av. Del Ejército, entre otros. ,  , Área de terreno: 155.34m2 ,  , Precio de venta: US$ 33,882,49 , ABSTENERSE CORREDORES  ,  ,  , COD: FJHI-0723-LSJSLC",,,"Cerca de parques,Cerca a Centro Comercial,Cerca a avenidas principales"
"Casa en venta Atahualpa 1559, Iquitos, Perú",65 casas en venta en Loreto Departamento,"290,000","Atahualpa 1559, iquitos, perú",260m2,4 Habitaciones,3 Baños,"Se vende hermosa y moderna casa en Iquitos  , La casa es amplia, iluminada, ventilada y muy acogedora. Con acabados de primera calidad  ,  , Se ubica en Jr. Atahualpa #1559  , Tiene un área de Área 260m²  ,  , Amplia sala y comedor con cocina tipo americana  ,  , Cuatro dormitorios grandes  , De los cuales un dormito es mediano  y el dormitorio principal tiene baño propio y espacio para hacer closet  , Dos dormitorios grandes comparten un baño completo  ,  , Un baño de ","visita  ,  , Todos los espacios tienen instalación eléctrica  ,  , Amplio patio tipo terraza  , Piscina con moderna tecnología  , Cochera 50m²cabe dos carros  ,  , PRECIO NEGOCIABLE Y DISPONIBILIDAD DE VISITAS","Amoblado: Sin amoblar,Piscina","Año de construcción: 2,022,Estacionamientos,Terraza,Jardín","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca a Centro Comercial"
"Casa en venta Las Laderas De Pachacamac, Cam. Real, Pachacamac, Perú","4,486 casas en venta en Lima Departamento","75,000","Las laderas de pachacamac, cam. real, pachacamac, perú",90m2,3 Habitaciones,1 Baño,"Preguntar por la Srta. Luz Jáuregui, por el código 1.0.3.5.7.7.1. ,  , Linda Casita en venta en las Laderas de Pachacamac, con los beneficios de la zona tranquila (sin ruido del tránsito), ordenada y segura para estacionar los autos, y no cuenta con pago de mantenimiento • ,  , Descripción: Casita ubicada dentro de condominio , Consta de: 1er piso.- techos altos • Amplia Sala - Comedor • Cocina amplia con reposteros altos y bajos, área de lavandería. , • 3 h","abitaciones amplias (uno de ellos con terraza) , • 1 baño completo. , • 1 estacionamiento , • Se encuentra Totalmente lista para habitar , • Aproveche esta Oportunidad de vivir en en una zona tranquila y completamente segura. ,  , Documentación en regla, lista para la venta. ,  , Citas con un día de anticipación. ,  , Preguntar por la Srta. Luz Jáuregui, por el código 1.0.3.5.7.7.1.",Amoblado: Sin amoblar,"Año de construcción: 2,018,Estacionamientos,Terraza",Cerca de parques
"Casa en venta Miski Mickuy, Avenida Central, Pj. Villa El Salvador Sector 2 Grupo 9, Villa El Salvador, Lima, 15834, Per","4,486 casas en venta en Lima Departamento","200,000","Miski mickuy, avenida central, pj. villa el salvador sector 2 grupo 9, villa el salvador, lima, 15834, per",140m2,5 Habitaciones,3 Baños,"* VENTA CASA EN AVENIDA COMERCIAL * , -- ÁREA 140 m2 -- , -- PRECIO US$ 200,000 -- ,  , ** UBICACIÓN ** , - En la Av. Central - Villa El Salvador , - Sector 2 Grupo 4 , - A 3 cuadras de la estación ""Villa El Salvador"" del Tren , - A 2 cuadras de CUAVES , - A 4 cuadras de Plaza Villa Sur ,  , ** CARACTERÍSTICAS ** , - Casa en avenida , - Cuenta con local comercial , - Tiene cochera , - En avenida principal y bastante comercial , - Tiene TÍTULO DE PROPIEDAD , - Bastante iluminación"," , - Agua, luz y gas natural , - Frente: 7 metros , - Fondo: 20 metros , - Documentos en regla , - Área terreno: 140 m2 , - Área techada: 280 m2 , - Antigüedad 33 años , - Libre de hipoteca, gravamen o carga , - Establecimientos comerciales cerca , - Colegio cerca , - Universidad cerca , - Hospital cerca","Internet,Gas Natural,Agua","Año de construcción: 1,990,Estacionamientos","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta La Calera De La Merced, Surquillo, Perú","4,486 casas en venta en Lima Departamento","387,188","La calera de la merced, surquillo, perú",178m2,5 Habitaciones,3 Baños,"SURQUILLO, LA CALERA DE LA MERCED , VENTA DE CASA,  Bien ubicada, zona Urbana, céntrica y accesible. , Características importantes: , Linderos por la derecha 18.74 ml , Linderos por la izquierda 18.74 ml , Fondo 9.50 ml , AT 177.00 , AC 139.29 , FRENTE 10 ml , Sala, comedor, cocina amplia, comedor de diario, patio de lavandería, y habitación . , 5 dormitorios, 3 baños completos., , 1 estacionamiento , Antigüedad 47 años , PRECIO $387, 188 Dólares  , PRECIO NEGOCIABLE",,"Amoblado: Sin amoblar,Cuarto de Servicio,Agua","Año de construcción: 1,976,Estacionamientos,Cisterna","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta 20 De Febrero, San Juan De Miraflores, Perú","4,486 casas en venta en Lima Departamento","105,000","20 de febrero, san juan de miraflores, perú",95m2,5 Habitaciones,2 Baños,"* VENTA CASA CON COCHERA * , -- ÁREA 95 m2 -- , -- PRECIO US$ 105,000 NEGOCIABLE -- ,  , ** UBICACIÓN ** , - Av. Miguel Iglesias con Av. Víctor Castro Iglesias - San Juan de Miraflores , - Referencia: Paradero ""La 28"" , - A media cuadra de la Av. Miguel Iglesias , - A 5 minutos de Ciudad de Dios , - A 6 cuadras del Hospital ""María Auxiliadora"" , - A 6 cuadras de la Municipalidad y la SUNARP ,  , ** CARACTERÍSTICAS ** , - Casa de 2 pisos , - Tiene cochera , - Tiene TÍTULO DE P","ROPIEDAD , - Agua, luz y gas natural , - Frente: 9 metros , - Fondo: 10.5 metros , - Área terreno: 95 m2 , - Área techada: 190 m2 , - Habitaciones bien distribuidas , - Bastante iluminación , - Documentos en regla , - Antigüedad 23 años. El segundo piso 6 años. , - Establecimientos comerciales cerca , - Colegios cerca , - Mercados cerca","Internet,Gas Natural,Agua","Año de construcción: 2,000,Estacionamientos","Cerca a avenidas principales,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta San Borja, Lima","4,486 casas en venta en Lima Departamento","339,000","San Borja, Lima",94m2,3 Habitaciones,3 Baños,"CASA EN CONDOMINIO DE 4 CHALETS EN SAN BORJA, CERCA AL PENTAGONITO, EXCELENTE ZONA  ,   SUPER TRANQUILA Y SEGURA.-  , - ESTACIONAMIENTO CON CONTROL REMOTO. ,  , - 1ER PISO: SALA ,COMEDOR, COCINA TOTALMENTE EQUIPADA -  COCINA, EMPOTRADA, HORNO, CAMPANA -  CON COMEDOR DE DIARIO Y TOTALEMENTE REMODELADA.  AMBIENTE PARA BAR.   ,   TERRAZA, BAÑO DE VISITA REMODELADO . ,  , - 2DO. PISO: 3 DORMITORIOS, PRINCIPAL CON BAÑO INCORPORADO Y 1 BAÑO PARA LOS OTROS 2  ,    DORM","ITORIOS. WALK IN CLOSET. ,  , - 3ER.PISO: CUARTO Y BAÑO DE SERVICIO, BBQ ,ESTUDIO. ,  , UNA BUENA OPCIÓN EN SAN BORJA A UN BUEN PRECIO, NO PIERDA LA OPORTUNIDAD DE VISITARLA.",Amoblado: Semi-amoblado,"Año de construcción: 1,990",
"Casa en venta Punta Arenas, La Molina, Perú","4,486 casas en venta en Lima Departamento","812,000","Punta arenas, la molina, perú","1,160m2",5 Habitaciones,4 Baños,"BONITA Y ACOGEDORA CASA, UBICADA EN SOL DE LA MOLINA, MUY CERCA DE CALLE LA PUNTA, CON GRAN JARDÍN Y ESPECTACULAR VISTA ,PISCINA, GYM, COCINA CON TABLERO DE GRANITO, REPOSTEROS ALTOS Y BAJOS.  ,  , DOS DORMITORIOS POSEEN BAÑO INTERNO. ,  , COCHERA PARA CUATRO VEHÍCULOS, AMPLIA ZONA DE ÁREA SOCIAL CON HERMOSA VISTA DE LA MOLINA.  ,  , EL TERRENO COLINDA CON EL CERRO, LA CASA TIENE CISTERNA DE 10 M3, TANQUE ELEVADO 1 M3,  ,  AGUA CALIENTE EN TODOS LOS BAÑOS. ,  , LA"," CASA ESTÁ BIEN MANTENIDA, LIBRE DE SALITRE. ,  , LA ZONA ES CERRADA, MUY SEGURA FRENTE A BONITO PARQUE. , TIENE DERECHO DE USO DE 400 M2 DE LADERA DE CERRO.","Amoblado: Sin amoblar,Piscina","Año de construcción: 2,005,Estacionamientos,Jardín,Gimnasio","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Calle Doña Consuelo 127, Urb Los Rosales, Santiago De Surco, Perú","4,486 casas en venta en Lima Departamento","530,000","Calle doña consuelo 127, urb los rosales, santiago de surco, perú",304m2,7 Habitaciones,8 Baños,"SURCO - URBANIZACION LOS ROSALES - CERCA AV. AYACUCHO, AV. TOMAS MARSANO, AV. MARISCAL CASTILLA, TREN ELECTRICO ,  , VENTA DE AMPLIA CASA  - 2 PISOS + AZOTEA           AT: 304.00 M2 (10.00 X 30.4)  AC:  419.00 M2 ,  ,  ,  , DESCRIPCION: ,  ,  , * 7 DORMITORIOS MUY AMPLIOS E ILUMINADOS ,  , * 4 BAÑOS COMPLETOS  -  2 BAÑOS DE VISITA  ,  , * 2 SALA COMEDORES GRANDES Y BIEN ILUMINADAS Y VENTILADAS ,  , * 2 SALAS DE ESTAR ,  , * 2 COCINAS CADA UNA CON SU COMEDOR DE DIARIO ,  , * 1 TERRAZA ,  , * 1 JARDIN EXTERIOR Y 1 JARDIN INTERIOR ,  , * ESTACIONAMIENTO PARA 3 AUTOS ,  , * TANQUE CISTERNA CON HIDROBOMBA ,  , * CERCO ELECTRICO ,  ,  ,  , TIENE 3 PISOS CONSTRUIDOS CON ESTRUCTURA ANTISISMICA. LOS PARÁMETROS PERMITEN CONSTRUIR HASTA 4 PISOS + AZOTEA ,  ,  ,  ,  , LA CASA ES IDEAL PARA FAMILIA NUMEROSA QUE NECESITEN HABITACIONES EN EL PRIMER PISO PARA ADULTOS MAYORES O CON ALGUNA DISCAPACIDAD. ,  , TAMBIEN ES IDEAL PARA FAMILIAS QUE TENGAN HIJOS JOVENES Y/O UNIVERSITARIOS QUE REQUIERAN CIERTA INDEPENDENCIA O ,  , PARA UNA FAMILIA QUE DESEE VIVIR EN UNO DE LOS NIVELES Y ALQUILAR EL OTRO O USARLO COMO OFICINA A PUERTA CERRADA. ,  , TODA LA DOCUMENTACIÓN ESTA EN REGLA, INSCRITA EN LOS REGISTROS PUBLICOS Y EN LA MUNICIPALIDAD. ,  , LISTA PARA UNA VENTA INMEDIATA YA SEA CON RECURSOS PROPIOS O CON UN CON CREDITO HIPOTECARIO ,  ,  ,  , PARA MAYORES INFORMES Y VISITAS CONTACTARSE CON EL SR. ROBERTO GIL AL ",,"Amoblado: Sin amoblar,Cuarto de Servicio,Agua","Año de construcción: 1,975,Estacionamientos,Terraza,Cisterna,Caseta de vigilancia,Acceso a discapacitados,Jardín","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Santa Cruz, Miraflores","4,486 casas en venta en Lima Departamento","640,000","Santa Cruz, Miraflores, Lima",215m2,3 Habitaciones,2 Baños,"¡Vive en unos de los distritos mas exclusivos de Lima! , Casa de dos pisos en esquina. , Área de terreno 190 m2  , Construcción 215 m2  , Primer piso todo remodelado, (incluyendo cableado y tuberías) , Jardín amplio con bancos de madera , Sala amplia , Comedor , Cocina con tablero de granito negro, muebles altos y bajos kit de cocina empotrada. , Baño de visitas , Área de lavandería , Cuarto y baño de servicio , Cochera para dos Autos, se pueden estacionar dos autos más"," fuera de la casa. , Segundo piso: , 3 habitaciones grandes todas con closet. , Baño con tina , Excelente ubicación, cerca a restaurantes, parques, colegios y avenidas principales.","Amoblado: Semi-amoblado,Aire Acondicionado,Armario empotrado,Línea Blanca,Internet,Cuarto de Servicio,Agua","Año de construcción: 1,980,Estacionamientos,Terraza,Cisterna,Jardín,BBQ,Seguridad privada","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Av. Manuel Valle, Pachacamac, Perú","4,486 casas en venta en Lima Departamento","285,000","Av. manuel valle, pachacamac, perú",500m2,3 Habitaciones,4 Baños,"Preguntar por la Srta. Ivonne Prieto, por el código 10.0.0.6.9.4. ,  , SE VENDE HERMOSA Y MODERNA CASA EN PACHACAMAC!! , Con menos de 2 años de terminada. , * en condominio privado. , * con muy buenos acabados. , * Diseño vintage, enchape de Madera en techos, , * semi-equipada. , * aire acondicionado en todos los dormitorios y oficina. , * cerco eléctrico. , * grupo electrógeno. , * bomba de agua , * sistema de riego. , DESCRIPCIÓN: , * Sala con chimenea, , * Comedor, , * Cocin","a, , * 3 Dormitorios, Dormitorio Principal incluye baño y Walk-in-closet, baño secundario, Sala de estar, , * Estudio. , * Baño de visita completo. , * Terraza semi techada. , * Piscina con amplio jardín. , * Horno andino y Parrilla. , * Cuarto y baño de servicio (se usan como deposito). , * Lavandería. , * Patio. , * Cochera para 2 autos. , * Cuenta con servicios de Agua, Luz, teléfono, Cable e Internet. , * A. Terreno: 500 M2 / A. Construida: 250 M2 , Mantenimiento S/ 100 ,  , No dudes en contactarme y disfruta de esta casa hermosa! ,  , Preguntar por la Srta. Ivonne Prieto, por el código 10.0.0.6.9.4.","Amoblado: Semi-amoblado,Armario empotrado,Cuarto de Servicio,Piscina","Año de construcción: 2,017,Estacionamientos,Terraza,Jardín,BBQ",
"Casa en venta Avenida Paseo La Castellana 356, Santiago De Surco, Perú","4,486 casas en venta en Lima Departamento","650,000","Avenida paseo la castellana 356, santiago de surco, perú",327m2,4 Habitaciones,5 Baños,"Venta Casa con hermosa terraza y jardín y excelente ubicación en Paseo La Castellana, a unas pocas cuadras del centro comercial “Simon Salguero” donde tienes todo a tu alcance (Restaurants, bodegas, peluquerías, markets, bancos, etc) ,  , Asimismo también puede venderse como terreno con parámetros de 4 pisos (frente 12ml x 27.25 de fondo) zonificación  RDM (Residencial de densidad media). ,  , Puede ser utilizado como casa de reposo, Notaria, oficina, et","c. ,  , Detalle de la distribución: ,  , Primer piso:  , Garaje, carport, sala, estar, comedor, medio baño, cocina con comedor de diario, terraza, jardín posterior, lavandería, baño de servicio y deposito. ,  , Segundo piso. , Escritorio con baño incorporado, hall, tres dormitorios, un baño, pasadizo de servicio y cuarto de servicio.","Amoblado: Sin amoblar,Línea Blanca,Cuarto de Servicio","Año de construcción: 1,970,Estacionamientos,Terraza,Caseta de vigilancia,Jardín","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial,Vista panorámica"
"Casa en venta El Refugio 320, La Molina, Perú","4,486 casas en venta en Lima Departamento","1,100,000","El refugio 320, la molina, perú","1,000m2",4 Habitaciones,4 Baños,"En venta linda casa en La Planicie: ,  , Área total: 1000m2 , Área construida: 450m2 , - Amplia sala y comedor con baño de visitas , - Sala de estar con baño , - Cocina con comedor de diario , - 4 dormitorios con baño incorporado , - Área de servicio completa , - Amplios jardines , - Piscina , - Cochera para 3 autos , - Vista a parque privado ,  , Precio: $1’100,000",,"Amoblado: Sin amoblar,Aire Acondicionado,Chimenea,Jacuzzi,Piscina","Año de construcción: 2,007,Estacionamientos,Terraza,Jardín,BBQ,Caseta de vigilancia,Seguridad privada","Cerca de parques,Vista panorámica"
"Casa en venta Calle San Martin De Porres 347, Villa María Del Triunfo, Perú","4,486 casas en venta en Lima Departamento","153,000","Calle san martin de porres 347, villa maría del triunfo, perú",165m2,5 Habitaciones,5 Baños,"* VENTA CASA CON COCHERA * , -- ÁREA 165 m2 -- , -- PRECIO US$ 153,000 NEGOCIABLE -- ,  , ** UBICACIÓN ** , - Cercado de Villa María del Triunfo , - Altura del Palacio de la Juventud , - A 3 cuadras de la Av. Salvador Allende (Pista Nueva) , - A 4 cuadras del mercado San Francisco ,  , ** CARACTERÍSTICAS ** , - Casa de 2 pisos , - Tiene cochera , - Tiene TÍTULO DE PROPIEDAD , - Área terreno: 165 m2 , - Área techada: 230 m2 , - Bastante iluminación , - Habitaciones bien distribuid","as , - Frente: 7 metros , - Fondo: 24 metros , - Agua, luz y gas natural , - Documentos en regla , - Libre de hipoteca, carga o gravamen , - Establecimientos comerciales cerca , - Colegios cerca","Internet,Gas Natural,Agua","Año de construcción: 2,007,Estacionamientos","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Parque Valencia, Parque Valencia, Las Lomas De La Molina Vieja, La Molina, Perú","4,486 casas en venta en Lima Departamento","439,000","Parque valencia, parque valencia, las lomas de la molina vieja, la molina, perú",300m2,5 Habitaciones,7 Baños,"* VENTA ACOGEDORA CASA * , -- ÁREA 300 m2 -- , -- PRECIO US$ 439,000 NEGOCIABLE -- ,  , ** UBICACIÓN ** , - Urbanización ""Las Lomas de La Molina Vieja"" - La Molina , - A 4 cuadras del Óvalo Los Cóndores , - A 10 minutos de ""Molina Plaza"" , - A 15 minutos de la Av. Javier Prado ,  , ** CARACTERÍSTICAS ** , - Cuenta con amplio jardín interior , - Tiene gimnasio con su baño , - Cuenta con sauna , - Frente: 20 metros , - Fondo: 15 metros , - Tiene TÍTULO DE PROPIEDAD , - Bastante ilu","minación , - Tiene cochera grande , - Excelente estado de conservación , - Antigüedad 30 años , - Habitaciones bien distribuidas , - Zona residencial y segura , - Documentos en regla , - Parques cerca","Armario empotrado,Internet,Cuarto de Servicio,Agua","Año de construcción: 1,993,Estacionamientos,Terraza,Jardín","Cerca a avenidas principales,Cerca de parques,Cerca a Centro Comercial,Vista panorámica"
"Casa en venta Av. Javier Prado Este 1545, San Borja, Perú","4,486 casas en venta en Lima Departamento","290,000","Av. javier prado este 1545, san borja, perú",127m2,5 Habitaciones,3 Baños,"- CASA EN VENTA EN LAS TORRES DE SAN BORJA. ,  , - UBICADA EN LA AV, JAVIER PRADO, A MEDIA CUADRA DE LA AV. GUARDIA CIVIL. ,  , - AT. 127 M2, AC. 145. ,  , - 5 DORMITORIOS. ,  , - 3 BAÑOS. ,  , - SALA COMEDOR. ,  , - COCINA. ,  , - ALACENA. ,  , - ESTACIONAMIENTO PARA 2 VEHÍCULOS. ,  , - 2 PISOS SIN AIRES",,"Amoblado: Sin amoblar,Internet","Año de construcción: 1,984,Estacionamientos,Terraza","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca a Centro Comercial,Vista panorámica"
"Casa en venta San Martin De Porres, Lima","4,486 casas en venta en Lima Departamento","72,000","San Martin de Porres, Lima",141m2,3 Habitaciones,1 Baño,"VENDO HERMOSA CASA EN INDEPENDENCIA, 2DO PISO + AIRES, DOCUMENTOS EN REGLA, COMPLETAMENTE SANEADO, 03 HABITACIONES, CERCA DE PRINCIPALES AVENIDAS DE ALTO TRANSITO, EN EL EMERGENTE DISTRITO DE INDEPENDENCIA.",,"Amoblado: Sin amoblar,Balcón,Cuarto de Servicio,Agua","Año de construcción: 2,000","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial,Vista panorámica"
"Casa en venta Parque La Canchita, Los Amancaes, La Molina Vieja, La Molina, Perú","4,486 casas en venta en Lima Departamento","599,000","Parque la canchita, los amancaes, la molina vieja, la molina, perú",484m2,5 Habitaciones,5 Baños,"* VENTA LINDA CASA * , -- ÁREA 484 m2 -- , -- PRECIO US$ 599,000 -- ,  , ** UBICACIÓN ** , - Urbanización ""La Molina Vieja"" - La Molina , - Altura Cuadra 10 Av. Alameda del Corregidor , - A 3 cuadras de Molina Plaza , - A 5 minutos de la Av. El Polo , - A 5 minutos de la Av. Javier Prado ,  , ** CARACTERÍSTICAS ** , - Acogedora casa con excelente diseño , - Cuenta con jardín interno ( 150 m2 ) , - Tiene cochera grande , - Excelentes acabados , - Tiene TÍTULO DE PROPIEDAD , - Vigi","lancia 24 horas , - Antigüedad: La parte delantera tiene 40 años. La construcción de atrás tiene 26 años. , - Las instalaciones eléctricas y sanitarias se cambiaron hace 1 año , - Muy buen estado de conservación , - Bastante iluminación , - Frente: 20 metros , - Fondo: 24.2 metros , - Habitaciones bien distribuidas , - Zona residencial y muy segura , - Documentos en regla , - Libre de hipoteca, carga o gravamen , - Parques cerca , - Establecimientos comerciales cerca , - Colegios cerca","Balcón,Armario empotrado,Internet,Cuarto de Servicio,Agua","Año de construcción: 1,993,Estacionamientos,Terraza,Jardín,Caseta de vigilancia","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
"Casa en venta Jirón Los Tulipanes 101-191, Cuadra 1, Ur. El Remanso, La Molina, Lima, 15024, Per","4,486 casas en venta en Lima Departamento","600,000","Jirón los tulipanes 101-191, cuadra 1, ur. el remanso, la molina, lima, 15024, per",304m2,6 Habitaciones,4 Baños,"- SE VENDE LINDA  CASA EN EL REMANSO - LA MOLINA. ,  , - AT. 304 M2    AC.275M2. ,  , - 6 DORMITORIOS. ,  , - PRIMER PISO ,  , - DORMITORIO PRINCIPAL CON WALK IN CLOSET Y BAÑO. ,  , - LOS OTROS DOS DORMITORIOS COMPARTEN UN BAÑO. ,  , - SALA CON CHIMENEA. ,  , - COMEDOR.  ,  , - JARDÍN QUE CONECTA CON LOS DORMITORIOS DEL PRIMER PISO Y SALA. ,  , - COCINA CON TRES ACCESOS. ,  , - SOTANO ,  , - DOS AMPLIOS AMBIENTES QUE PUEDEN FUNCIONAR COMO DORMITORIOS. ,  , - PARRILLA. ,  , - SEGUNDO PISO ,  , - DORMIT","ORIO, LAVANDERÍA, CUARTO Y BAÑO DE SERVICIO. ,  , - LA CASA CUENTA CON  ESTACIONAMIENTO PARA 2 AUTOS. ,  , - CALLE MUY TRANQUILA CON CONTROL DE ACCESO. ,  , - UBICADA  A 3 CUADRAS DE LA AV. RAUL FERRERO. ,  , - MUY CERCA DEL MOLINA PLAZA","Amoblado: Sin amoblar,Armario empotrado,Línea Blanca,Chimenea,Cuarto de Servicio,Agua","Año de construcción: 1,991,Estacionamientos,Terraza,Caseta de vigilancia,Jardín,BBQ,Caseta de vigilancia,Seguridad privada","Cerca a avenidas principales,Cerca a Centro Comercial,Cerca de parques,Cerca a Centro Comercial"
